name,goals,assists,points,plusMinus,time_on_ice,game_date,team,opponent
 Mikael  Granlund,0,1,1,-1,19:58,2025-03-29,DAL,SEA
 Roope  Hintz,1,1,2,1,18:37,2025-03-29,DAL,SEA
 Mikko  Rantanen,1,2,3,2,17:53,2025-03-29,DAL,SEA
 Esa  Lindell,0,0,0,1,18:36,2025-03-29,DAL,SEA
 Artturi  Lehkonen,0,0,0,1,21:25,2025-03-29,COL,STL
 Kasperi  Kapanen,0,0,0,-1,10:16,2025-03-29,EDM,CGY
 Erik  Haula,0,0,0,0,15:08,2025-03-29,NJD,MIN
 Nikolas  Matinpalo,0,0,0,0,14:35,2025-03-29,OTT,CBJ
 Urho  Vaakanainen,0,2,2,2,16:43,2025-03-29,NYR,SJS
 Henri  Jokiharju,0,0,0,0,21:54,2025-03-29,BOS,DET
 Kaapo  Kakko,0,0,0,-1,15:02,2025-03-29,SEA,DAL
 Jani  Nyman,0,0,0,0,15:00,2025-03-29,SEA,DAL
 Eeli  Tolvanen,1,0,1,1,16:33,2025-03-29,SEA,DAL
 Ukko-Pekka  Luukkonen,0,0,0,0,60:00,2025-03-29,BUF,PHI
 Justus  Annunen,0,0,0,0,58:41,2025-03-29,NSH,VGK
