WPG, C, Mason, Appleton, 8478891, USA
WPG, C, Morgan, Barron, 8480289, CAN
WPG, L, Kyle, Connor, 8478398, USA
WPG, L, Nikolaj, Ehlers, 8477940, DNK
WPG, C, David, Gustafsson, 8481019, SWE
WPG, L, Alex, Iafallo, 8480113, USA
WPG, C, Rasmus, Kupari, 8480845, FIN
WPG, C, Adam, Lowry, 8476392, USA
WPG, C, Vladislav, Namestnikov, 8476480, RUS
WPG, R, Nino, Niederreiter, 8475799, CHE
WPG, C, Cole, Perfetti, 8482149, CAN
WPG, C, Mark, Scheifele, 8476460, CAN
WPG, L, Brandon, Tanev, 8479293, CAN
WPG, C, Gabriel, Vilardi, 8480014, CAN
WPG, D, Dylan, DeMelo, 8476331, CAN
WPG, D, Haydn, Fleury, 8477938, CAN
WPG, D, Ville, Heinola, 8481572, FIN
WPG, D, Colin, Miller, 8476525, CAN
WPG, D, Josh, Morrissey, 8477504, CAN
WPG, D, Neal, Pionk, 8480145, USA
WPG, D, Dylan, Samberg, 8480049, USA
WPG, D, Luke, Schenn, 8474568, CAN
WPG, D, Logan, Stanley, 8479378, CAN
WPG, G, Eric, Comrie, 8477480, CAN
WPG, G, Connor, Hellebuyck, 8476945, USA
WSH, C, Nicklas, Backstrom, 8473563, SWE
WSH, L, Anthony, Beauvillier, 8478463, CAN
WSH, C, Nic, Dowd, 8475343, USA
WSH, L, Pierre-Luc, Dubois, 8479400, CAN
WSH, R, Brandon, Duhaime, 8479520, USA
WSH, C, Lars, Eller, 8474189, DNK
WSH, C, Ethen, Frank, 8483573, USA
WSH, L, Andrew, Mangiapane, 8478233, CAN
WSH, C, Connor, McMichael, 8481580, CAN
WSH, L, Sonny, Milano, 8477947, USA
WSH, R, T.J., Oshie, 8471698, USA
WSH, L, Alex, Ovechkin, 8471214, RUS
WSH, C, Aliaksei, Protas, 8481656, BLR
WSH, R, Taylor, Raddysh, 8479390, CAN
WSH, C, Dylan, Strome, 8478440, CAN
WSH, R, Tom, Wilson, 8476880, CAN
WSH, D, Alexander, Alexeyev, 8480823, RUS
WSH, D, John, Carlson, 8474590, USA
WSH, D, Jakob, Chychrun, 8479345, USA
WSH, D, Martin, Fehérváry, 8480796, SVK
WSH, D, Dylan, McIlrath, 8475795, CAN
WSH, D, Matt, Roy, 8478911, USA
WSH, D, Rasmus, Sandin, 8480873, SWE
WSH, D, Trevor, van Riemsdyk, 8477845, USA
WSH, G, Charlie, Lindgren, 8479292, USA
WSH, G, Logan, Thompson, 8480313, CAN
DAL, L, Jamie, Benn, 8473994, CAN
DAL, C, Colin, Blackwell, 8476278, USA
DAL, C, Mavrik, Bourque, 8482145, CAN
DAL, C, Oskar, Bäck, 8480840, SWE
DAL, R, Evgenii, Dadonov, 8474149, RUS
DAL, C, Matt, Duchene, 8475168, CAN
DAL, C, Mikael, Granlund, 8475798, FIN
DAL, C, Roope, Hintz, 8478449, FIN
DAL, C, Wyatt, Johnston, 8482740, CAN
DAL, L, Mason, Marchment, 8478975, CAN
DAL, R, Mikko, Rantanen, 8478420, FIN
DAL, L, Jason, Robertson, 8480027, USA
DAL, C, Tyler, Seguin, 8475794, CAN
DAL, C, Sam, Steel, 8479351, CAN
DAL, D, Lian, Bichsel, 8483425, CHE
DAL, D, Cody, Ceci, 8476879, CAN
DAL, D, Mathew, Dumba, 8476856, CAN
DAL, D, Thomas, Harley, 8481581, USA
DAL, D, Miro, Heiskanen, 8480036, FIN
DAL, D, Esa, Lindell, 8476902, FIN
DAL, D, Nils, Lundkvist, 8480878, SWE
DAL, D, Ilya, Lyubushkin, 8480950, RUS
DAL, D, Brendan, Smith, 8474090, CAN
DAL, G, Casey, DeSmith, 8479193, USA
DAL, G, Jake, Oettinger, 8479979, USA
VGK, C, Ivan, Barbashev, 8477964, RUS
VGK, L, Pavel, Dorofeyev, 8481604, RUS
VGK, C, Jack, Eichel, 8478403, USA
VGK, C, Tomas, Hertl, 8476881, CZE
VGK, C, Brett, Howden, 8479353, CAN
VGK, C, William, Karlsson, 8476448, SWE
VGK, R, Keegan, Kolesar, 8478434, CAN
VGK, R, Victor, Olofsson, 8478109, SWE
VGK, L, Tanner, Pearson, 8476871, CAN
VGK, C, Nicolas, Roy, 8478462, CAN
VGK, L, Brandon, Saad, 8476438, USA
VGK, R, Cole, Schwindt, 8481655, CAN
VGK, R, Reilly, Smith, 8475191, CAN
VGK, R, Mark, Stone, 8475913, CAN
VGK, D, Nicolas, Hague, 8479980, CAN
VGK, D, Noah, Hanifin, 8478396, USA
VGK, D, Ben, Hutton, 8477018, CAN
VGK, D, Kaedan, Korczak, 8481527, CAN
VGK, D, Brayden, McNabb, 8475188, CAN
VGK, D, Alex, Pietrangelo, 8474565, CAN
VGK, D, Shea, Theodore, 8477447, CAN
VGK, D, Zach, Whitecloud, 8480727, CAN
VGK, G, Adin, Hill, 8478499, CAN
VGK, G, Ilya, Samsonov, 8478492, RUS
COL, C, Ross, Colton, 8479525, USA
COL, C, Charlie, Coyle, 8475745, USA
COL, L, Jonathan, Drouin, 8477494, CAN
COL, C, Jack, Drury, 8480835, USA
COL, C, Parker, Kelly, 8480448, CAN
COL, L, Joel, Kiviranta, 8481641, FIN
COL, L, Artturi, Lehkonen, 8477476, FIN
COL, C, Nathan, MacKinnon, 8477492, CAN
COL, C, Martin, Necas, 8480039, CZE
COL, C, Brock, Nelson, 8475754, USA
COL, R, Valeri, Nichushkin, 8477501, RUS
COL, R, Logan, O'Connor, 8481186, USA
COL, L, Jimmy, Vesey, 8476918, USA
COL, L, Miles, Wood, 8477425, USA
COL, D, Samuel, Girard, 8479398, CAN
COL, D, Erik, Johnson, 8473446, USA
COL, D, Ryan, Lindgren, 8479324, USA
COL, D, Cale, Makar, 8480069, CAN
COL, D, Sam, Malinski, 8484258, USA
COL, D, Josh, Manson, 8476312, USA
COL, D, Keaton, Middleton, 8479387, CAN
COL, D, Devon, Toews, 8478038, CAN
COL, G, Mackenzie, Blackwood, 8478406, CAN
COL, G, Scott, Wedgewood, 8475809, CAN
CAR, C, Sebastian, Aho, 8478427, FIN
CAR, R, Jackson, Blake, 8482809, USA
CAR, L, William, Carrier, 8477478, CAN
CAR, L, Taylor, Hall, 8475791, CAN
CAR, C, Mark, Jankowski, 8476873, CAN
CAR, C, Seth, Jarvis, 8482093, CAN
CAR, C, Tyson, Jost, 8479370, CAN
CAR, C, Jesperi, Kotkaniemi, 8480829, FIN
CAR, L, Jordan, Martinook, 8476921, CAN
CAR, L, Eric, Robinson, 8480762, USA
CAR, C, Jack, Roslovic, 8478458, USA
CAR, C, Jordan, Staal, 8473533, CAN
CAR, C, Logan, Stankoven, 8482702, CAN
CAR, R, Andrei, Svechnikov, 8480830, RUS
CAR, D, Brent, Burns, 8470613, CAN
