Eastern Conference
Team,Goals For,Goals Against,Wins,Losses,Ties,Points,Streak
Washington Capitals,266,196,47,17,0,103,L
Carolina Hurricanes,238,196,45,24,0,94,W
Toronto Maple Leafs,242,219,45,25,0,94,W
Tampa Bay Lightning,264,195,43,25,0,91,W
Florida Panthers,233,198,44,26,0,91,L
New Jersey Devils,224,199,39,29,0,85,W
Ottawa Senators,211,209,39,28,0,84,OT
Montréal Canadiens,220,246,34,30,0,77,W
New York Rangers,224,222,35,32,0,77,W
Columbus Blue Jackets,234,242,33,30,0,75,L
Detroit Red Wings,210,232,34,33,0,74,W
New York Islanders,202,225,32,31,0,74,L
Pittsburgh Penguins,218,274,30,34,0,71,W
Boston Bruins,193,244,30,35,0,69,L
Philadelphia Flyers,215,262,30,36,0,69,W
Buffalo Sabres,239,261,31,36,0,68,W

Western Conference
Team,Goals For,Goals Against,Wins,Losses,Ties,Points,Streak
Winnipeg Jets,256,173,51,19,0,106,W
Dallas Stars,251,188,48,21,0,100,W
Vegas Golden Knights,250,195,45,20,0,98,W
Colorado Avalanche,249,208,45,26,0,93,L
Los Angeles Kings,215,186,41,23,0,91,W
Edmonton Oilers,236,215,42,26,0,89,W
Minnesota Wild,202,211,41,28,0,87,L
St. Louis Blues,229,212,40,28,0,87,W
Vancouver Canucks,213,229,34,27,0,81,L
Calgary Flames,190,214,34,26,0,80,OT
Utah Hockey Club,209,228,33,29,0,78,W
Anaheim Ducks,201,230,32,33,0,72,L
Seattle Kraken,223,242,31,37,0,68,L
Nashville Predators,185,235,27,38,0,62,L
Chicago Blackhawks,201,269,21,44,0,51,L
San Jose Sharks,190,278,20,44,0,49,L
